"Name","Score","Study_Hours"
"Zainab",61,14
"Sade",66,15
"Olamide",70,10
"Babatunde",63,11
"Uche",84,10
"Eze",58,13
"Segun",64,11
"Afusat",74,8
"Yakubu",81,11
"Olamide",98,8
"Afusat",72,7
"Sade",71,11
"Hauwa",68,12
"Babatunde",55,11
"Tunde",82,9
"Ngozi",85,15
"Uche",66,7
"Hauwa",87,10
"Sade",75,9
"Maryam",79,11
"Olamide",87,10
"Aisha",68,10
"Segun",83,11
"Ngozi",85,6
"Fatima",91,9
"Zainab",91,15
"Uche",86,8
"Kelechi",62,13
"Ngozi",81,7
"Hauwa",72,12
"Hauwa",76,11
"Uche",87,11
"Ngozi",83,10
"Emeka",57,12
"Chukwudi",79,15
"Afusat",72,9
"Tunde",72,9
"Fatima",69,12
"Kelechi",76,9
"Eze",82,15
"Adekunle",79,11
"Emeka",78,11
"Zainab",69,7
"Hauwa",76,14
"Zainab",71,14
"Tope",57,5
"Yakubu",77,15
"Emeka",92,8
"Segun",61,7
"Tunde",86,8
"Ngozi",85,6
"Tope",79,12
"Aisha",66,6
"Eze",61,7
"Aisha",90,7
"Chukwudi",81,12
"Maryam",77,9
"Kelechi",78,10
"Afusat",60,8
"Sade",86,11
"Yakubu",91,8
"Olamide",75,15
"Babatunde",63,10
"Tunde",72,8
"Tope",70,14
"Fatima",83,10
"Olamide",79,7
"Babatunde",66,7
"Olamide",74,11
"Ngozi",90,6
"Babatunde",78,15
"Zainab",84,7
"Afusat",85,5
"Tunde",94,5
"Sade",49,7
"Uche",50,12
"Eze",83,4
"Uche",72,9
"Fatima",84,10
"Chukwudi",78,6
"Uche",75,11
"Fatima",72,2
"Yakubu",90,5
"Olamide",54,15
"Aisha",75,15
"Olamide",99,13
"Babatunde",71,18
"Tunde",88,8
"Olamide",79,15
"Sade",78,7
"Zainab",74,13
"Aisha",68,5
"Segun",74,12
"Ngozi",69,4
"Zainab",78,5
"Emeka",60,6
"Olamide",72,8
"Ngozi",85,11
"Uche",57,9
"Afusat",85,14
"Emeka",71,14
"Tope",92,13
"Segun",75,9
"Maryam",85,10
"Fatima",79,10
"Olamide",59,13
"Sade",77,10
"Ngozi",75,8
"Hauwa",77,12
"Ngozi",80,3
"Chukwudi",74,10
"Tope",74,8
"Kelechi",49,9
"Sade",73,12
"Yakubu",86,11
"Zainab",87,12
"Ngozi",87,10
"Maryam",82,7
"Adekunle",75,7
"Tunde",67,10
"Yakubu",70,16
"Tope",70,5
"Segun",83,11
"Tope",75,8
"Yakubu",83,8
"Tunde",53,12
"Babatunde",68,9
"Maryam",70,14
"Yakubu",86,8
"Fatima",60,5
"Aisha",77,6
"Uche",71,6
"Yakubu",90,12
"Segun",80,10
"Tunde",86,12
"Olamide",67,11
"Kelechi",87,13
"Chukwudi",79,14
"Segun",84,13
"Kelechi",72,9
"Olamide",90,7
"Emeka",64,12
"Tunde",71,13
"Fatima",64,7
"Maryam",68,12
"Kelechi",83,8
"Olamide",72,9
"Tope",78,8
"Adekunle",99,9
"Tunde",81,2
"Tunde",76,11
"Uche",84,7
"Tunde",76,8
"Eze",69,7
"Hauwa",86,10
"Ngozi",76,9
"Ngozi",81,13
"Uche",78,12
"Segun",77,11
"Adekunle",78,4
"Sade",61,11
"Uche",80,4
"Kelechi",64,17
"Segun",75,10
"Segun",75,6
"Yakubu",72,10
"Ngozi",61,11
"Yakubu",93,13
"Hauwa",73,13
"Hauwa",57,0
"Afusat",65,13
"Olamide",84,4
"Olamide",82,12
"Emeka",69,5
"Adekunle",79,9
"Uche",85,11
"Aisha",79,17
"Aisha",68,8
"Ngozi",82,17
"Hauwa",69,6
"Yakubu",74,9
"Emeka",83,8
"Eze",65,7
"Aisha",68,12
"Afusat",67,11
"Yakubu",71,3
"Babatunde",58,7
"Olamide",77,5
"Adekunle",87,14
"Chukwudi",76,13
"Maryam",79,11
"Uche",70,16
"Adekunle",66,10
"Afusat",74,11
"Tunde",67,7
"Kelechi",64,16
"Eze",74,9
"Uche",68,8
"Emeka",65,9
"Ngozi",65,17
"Hauwa",87,7
"Tope",82,11
"Aisha",74,9
"Kelechi",64,13
"Tunde",75,13
"Ngozi",78,7
"Yakubu",59,3
"Eze",67,16
"Aisha",69,16
"Adekunle",78,8
"Chukwudi",66,15
"Aisha",68,12
"Chukwudi",48,9
"Kelechi",73,12
"Aisha",66,10
"Babatunde",68,12
"Eze",77,11
"Chukwudi",81,11
"Afusat",77,10
"Fatima",67,11
"Kelechi",81,14
"Uche",92,12
"Emeka",82,11
"Uche",66,11
"Uche",82,10
"Emeka",88,6
"Tope",67,7
"Tope",74,13
"Babatunde",62,11
"Maryam",65,8
"Babatunde",64,12
"Babatunde",83,7
"Tope",79,11
"Chukwudi",85,7
"Zainab",85,8
